Latitude_degree,Longitudedegree,Water_Sample_Depth_m,Microplastics_measurement,Toxicity,Color,nearest_current_speed,nearest_u_current,nearest_v_current,is_land
-27.1,9.8,0.45,0.058,High,Red,0.0490306032413473,-0.0100000007078051,0.0480000004172325,False
-18.7,0.6,0.45,0.001,Low,Green,0.0785493538533465,0.0290000010281801,0.0730000063776969,False
17.8443,173.1261,0.45,0.13,High,Red,0.1483677911338883,-0.1420000046491623,0.0430000014603138,False
22.0337,161.8278,0.45,0.037,High,Red,0.1561697901320878,0.145000010728836,0.0580000020563602,False
23.9086,154.2651,0.45,0.068,High,Red,0.1991105359902837,-0.1980000138282776,0.021000001579523,False
31.8073,140.9512,0.45,0.111,High,Red,0.1437532635732956,-0.0280000008642673,-0.1410000026226043,False
7.2814,134.4707,0.45,0.006,Medium,Blue,0.1449172239321209,0.0750000029802322,0.1240000054240226,False
7.33,134.4657,0.45,0.021,High,Red,0.1449172239321209,0.0750000029802322,0.1240000054240226,False
7.1033,134.2385,0.45,0.009,Medium,Blue,0.1135957798746289,0.050000000745058,0.1020000055432319,False
7.1327,134.292,0.45,0.04,High,Red,0.11759252305497,0.0880000069737434,0.0780000016093254,False
6.9933,134.3108,0.45,0.005,Medium,Blue,0.1135957798746289,0.050000000745058,0.1020000055432319,False
7.2537,134.2452,0.45,0.012,High,Red,0.11759252305497,0.0880000069737434,0.0780000016093254,False
7.2812,134.2886,0.45,0.005,Medium,Blue,0.11759252305497,0.0880000069737434,0.0780000016093254,False
7.631,134.5471,0.45,0.008,Medium,Blue,0.1778595082382141,0.145000010728836,0.1030000075697898,False
7.7766,134.5698,0.45,0.008,Medium,Blue,0.1778595082382141,0.145000010728836,0.1030000075697898,False
7.0778,134.3083,0.45,0.015,High,Red,0.1135957798746289,0.050000000745058,0.1020000055432319,False
7.313,134.2236,0.45,0.001,Low,Green,0.11759252305497,0.0880000069737434,0.0780000016093254,False
-10.2995,166.2958,0.45,0.001,Low,Green,0.2908419075501042,-0.0580000020563602,-0.2850000262260437,False
-15.4537,166.6706,0.45,0.013,High,Red,0.0224722066655601,-0.021000001579523,0.0080000003799796,False
-17.75,168.3,0.45,0.0,Low,Green,0.2654241981865037,-0.1710000038146972,-0.203000009059906,False
37.533,5.7742,0.45,0.01,Medium,Blue,0.0386264180159221,-0.0140000004321336,0.0360000021755695,False
10.0888,99.8253,0.45,0.004,Medium,Blue,0.3795853253346152,-0.2010000050067901,0.3220000267028808,False
7.1221,99.4243,0.45,0.0,Low,Green,0.2870017604994034,-0.2290000170469284,0.1730000078678131,False
-9.7097,46.5344,0.45,0.006,Medium,Blue,0.6038956900291454,-0.597000002861023,0.0910000056028366,False
-9.7045,46.5106,0.45,0.002,Medium,Blue,0.6038956900291454,-0.597000002861023,0.0910000056028366,False
-9.6589,47.5678,0.45,0.008,Medium,Blue,0.4082364703042985,-0.3760000169277191,0.1590000092983245,False
-9.7736,47.5675,0.45,0.002,Medium,Blue,0.4082364703042985,-0.3760000169277191,0.1590000092983245,False
-9.7522,47.6024,0.45,0.006,Medium,Blue,0.4082364703042985,-0.3760000169277191,0.1590000092983245,False
-9.661,47.5941,0.45,0.012,High,Red,0.4082364703042985,-0.3760000169277191,0.1590000092983245,False
-9.3892,46.1969,0.45,0.002,Medium,Blue,0.5040010001688257,-0.5040000081062317,-0.0010000000474974,False
-9.4962,46.2684,0.45,0.006,Medium,Blue,0.5040010001688257,-0.5040000081062317,-0.0010000000474974,False
-9.4369,46.2006,0.45,0.002,Medium,Blue,0.5040010001688257,-0.5040000081062317,-0.0010000000474974,False
-9.3669,46.2852,0.45,0.004,Medium,Blue,0.4366474788647269,-0.4310000240802765,-0.0700000002980232,False
-9.3672,46.2413,0.45,0.002,Medium,Blue,0.4366474788647269,-0.4310000240802765,-0.0700000002980232,False
-9.4518,46.4253,0.45,0.002,Medium,Blue,0.4355066337825442,-0.4350000321865082,0.021000001579523,False
-9.3933,46.2492,0.45,0.005,Medium,Blue,0.5040010001688257,-0.5040000081062317,-0.0010000000474974,False
-9.7299,46.5007,0.45,0.0,Low,Green,0.6038956900291454,-0.597000002861023,0.0910000056028366,False
58.2773,8.9017,0.45,0.001,Low,Green,0.1070794141865198,-0.1050000041723251,-0.021000001579523,False
8.55,140.06,0.45,0.0,Low,Green,0.2661879062042106,-0.2660000026226043,0.0100000007078051,False
-38.0347,140.6199,0.45,0.0,Low,Green,0.0420119062344817,0.0420000031590461,0.0010000000474974,False
3.5438,100.2277,0.45,0.077,High,Red,0.3408254848848931,-0.2410000115633011,0.2410000115633011,False
-3.9691,106.4407,0.45,0.025,High,Red,0.2590772160725289,0.1000000014901161,-0.2390000075101852,False
-7.9894,102.6497,0.45,0.093,High,Red,0.5442178234446228,-0.262000024318695,-0.4770000278949737,False
-12.0917,96.8833,0.45,0.024,High,Red,0.2361228632678809,0.2270000129938125,0.0650000050663948,False
-16.3516,78.8347,0.45,0.013,High,Red,0.044294470638034,0.021000001579523,0.0390000008046627,False
1.2817,108.13,0.45,0.003,Medium,Blue,0.1996196494594691,0.0820000022649765,-0.1820000112056732,False
